modelPath,prompt,imagePath
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 0.0,.//views4f96dd64302e4728afcdef3b7cf96a4c000.png
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 0.5235987755982988,.//views4f96dd64302e4728afcdef3b7cf96a4c001.png
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 1.0471975511965976,.//views4f96dd64302e4728afcdef3b7cf96a4c002.png
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 1.5707963267948966,.//views4f96dd64302e4728afcdef3b7cf96a4c003.png
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 2.0943951023931953,.//views4f96dd64302e4728afcdef3b7cf96a4c004.png
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 2.6179938779914944,.//views4f96dd64302e4728afcdef3b7cf96a4c005.png
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 3.141592653589793,.//views4f96dd64302e4728afcdef3b7cf96a4c006.png
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 3.6651914291880923,.//views4f96dd64302e4728afcdef3b7cf96a4c007.png
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 4.1887902047863905,.//views4f96dd64302e4728afcdef3b7cf96a4c008.png
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 4.71238898038469,.//views4f96dd64302e4728afcdef3b7cf96a4c009.png
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 5.235987755982989,.//views4f96dd64302e4728afcdef3b7cf96a4c010.png
./objects/000-154/4f96dd64302e4728afcdef3b7cf96a4c.glb,1.0471975511965976 5.759586531581287,.//views4f96dd64302e4728afcdef3b7cf96a4c011.png
./objects/000-153/d8e8a4325deb4aeabd891672dd4837a8.glb,1.0471975511965976 0.0,.//viewsd8e8a4325deb4aeabd891672dd4837a8000.png
./objects/000-153/d8e8a4325deb4aeabd891672dd4837a8.glb,1.0471975511965976 0.5235987755982988,.//viewsd8e8a4325deb4aeabd891672dd4837a8001.png
./objects/000-153/d8e8a4325deb4aeabd891672dd4837a8.glb,1.0471975511965976 1.0471975511965976,.//viewsd8e8a4325deb4aeabd891672dd4837a8002.png
./objects/000-153/d8e8a4325deb4aeabd891672dd4837a8.glb,1.0471975511965976 1.5707963267948966,.//viewsd8e8a4325deb4aeabd891672dd4837a8003.png
./objects/000-153/d8e8a4325deb4aeabd891672dd4837a8.glb,1.0471975511965976 2.0943951023931953,.//viewsd8e8a4325deb4aeabd891672dd4837a8004.png
